Name,Year,Genre,Publisher,EU_Sales,Global_Sales
Wii Sports,2006,Sports,Nintendo,29.02,82.74
Super Mario Bros.,1985,Platform,Nintendo,3.58,40.24
Mario Kart Wii,2008,Racing,Nintendo,12.88,35.82
Wii Sports Resort,2009,Sports,Nintendo,11.01,33
Pokemon Red/Pokemon Blue,1996,Role-Playing,Nintendo,8.89,31.37
Tetris,1989,Puzzle,Nintendo,2.26,30.26
New Super Mario Bros.,2006,Platform,Nintendo,9.23,30.01
Wii Play,2006,Misc,Nintendo,9.2,29.02
New Super Mario Bros. Wii,2009,Platform,Nintendo,7.06,28.62
Duck Hunt,1984,Shooter,Nintendo,0.63,28.31
Nintendogs,2005,Simulation,Nintendo,11,24.76
Mario Kart DS,2005,Racing,Nintendo,7.57,23.42
Pokemon Gold/Pokemon Silver,1999,Role-Playing,Nintendo,6.18,23.1
Wii Fit,2007,Sports,Nintendo,8.03,22.72
Wii Fit Plus,2009,Sports,Nintendo,8.59,22
Kinect Adventures!,2010,Misc,Microsoft Game Studios,4.94,21.82
Grand Theft Auto V,2013,Action,Take-Two Interactive,9.27,21.4
Grand Theft Auto: San Andreas,2004,Action,Take-Two Interactive,0.4,20.81
Super Mario World,1990,Platform,Nintendo,3.75,20.61
Brain Age: Train Your Brain in Minutes a Day,2005,Misc,Nintendo,9.26,20.22
Pokemon Diamond/Pokemon Pearl,2006,Role-Playing,Nintendo,4.52,18.36
Super Mario Land,1989,Platform,Nintendo,2.71,18.14
Super Mario Bros. 3,1988,Platform,Nintendo,3.44,17.28
Grand Theft Auto V,2013,Action,Take-Two Interactive,5.31,16.38
Grand Theft Auto: Vice City,2002,Action,Take-Two Interactive,5.49,16.15
Pokemon Ruby/Pokemon Sapphire,2002,Role-Playing,Nintendo,3.9,15.85
Pokemon Black/Pokemon White,2010,Role-Playing,Nintendo,3.28,15.32
Brain Age 2: More Training in Minutes a Day,2005,Puzzle,Nintendo,5.36,15.3
Gran Turismo 3: A-Spec,2001,Racing,Sony Computer Entertainment,5.09,14.98
Call of Duty: Modern Warfare 3,2011,Shooter,Activision,4.28,14.76
Pokémon Yellow: Special Pikachu Edition,1998,Role-Playing,Nintendo,5.04,14.64
Call of Duty: Black Ops,2010,Shooter,Activision,3.73,14.64
Pokemon X/Pokemon Y,2013,Role-Playing,Nintendo,4.05,14.35
Call of Duty: Black Ops 3,2015,Shooter,Activision,5.81,14.24
Call of Duty: Black Ops II,2012,Shooter,Activision,5.88,14.03
Call of Duty: Black Ops II,2012,Shooter,Activision,4.3,13.73
Call of Duty: Modern Warfare 2,2009,Shooter,Activision,3.63,13.51
Call of Duty: Modern Warfare 3,2011,Shooter,Activision,5.82,13.46
Grand Theft Auto III,2001,Action,Take-Two Interactive,4.51,13.1
Super Smash Bros. Brawl,2008,Fighting,Nintendo,2.61,13.04
Call of Duty: Black Ops,2010,Shooter,Activision,4.44,12.73
Animal Crossing: Wild World,2005,Simulation,Nintendo,3.52,12.27
Mario Kart 7,2011,Racing,Nintendo,3.91,12.21
Halo 3,2007,Shooter,Microsoft Game Studios,2.83,12.14
Grand Theft Auto V,2014,Action,Take-Two Interactive,5.81,11.98
Pokemon HeartGold/Pokemon SoulSilver,2009,Action,Nintendo,2.77,11.9
Super Mario 64,1996,Platform,Nintendo,2.85,11.89
Gran Turismo 4,2004,Racing,Sony Computer Entertainment,0.01,11.66
Super Mario Galaxy,2007,Platform,Nintendo,3.4,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,Nintendo,3.37,11.33
Super Mario Land 2: 6 Golden Coins,1992,Adventure,Nintendo,2.04,11.18
Grand Theft Auto IV,2008,Action,Take-Two Interactive,3.1,11.02
Gran Turismo,1997,Racing,Sony Computer Entertainment,3.87,10.95
Super Mario 3D Land,2011,Platform,Nintendo,2.99,10.79
Gran Turismo 5,2010,Racing,Sony Computer Entertainment,4.88,10.77
Call of Duty: Modern Warfare 2,2009,Shooter,Activision,3.69,10.69
Grand Theft Auto IV,2008,Action,Take-Two Interactive,3.76,10.57
Super Mario All-Stars,1993,Platform,Nintendo,2.15,10.55
Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,Nintendo,2.65,10.49
Super Mario 64,2004,Platform,Nintendo,3.11,10.42
Just Dance 3,2011,Misc,Ubisoft,3.15,10.26
Call of Duty: Ghosts,2013,Shooter,Activision,2.63,10.21
Halo: Reach,2010,Shooter,Microsoft Game Studios,1.98,9.88
Mario Kart 64,1996,Racing,Nintendo,1.94,9.87
New Super Mario Bros. 2,2012,Platform,Nintendo,3.07,9.82
Halo 4,2012,Shooter,Microsoft Game Studios,2.36,9.76
Final Fantasy VII,1997,Role-Playing,Sony Computer Entertainment,2.47,9.72
Call of Duty: Ghosts,2013,Shooter,Activision,3.73,9.59
Just Dance 2,2010,Misc,Ubisoft,2.89,9.52
Gran Turismo 2,1999,Racing,Sony Computer Entertainment,3.42,9.49
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,2.38,9.32
Donkey Kong Country,1994,Platform,Nintendo,1.71,9.3
Minecraft,2013,Misc,Microsoft Game Studios,2.83,9.2
Animal Crossing: New Leaf,2012,Simulation,Nintendo,2.32,9.09
Mario Party DS,2007,Misc,Nintendo,1.88,9.02
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,2.86,8.84
Super Mario Kart,1992,Racing,Nintendo,1.24,8.76
FIFA 16,2015,Sports,Electronic Arts,6.06,8.49
Wii Party,2010,Misc,Nintendo,3.53,8.49
Halo 2,2004,Shooter,Microsoft Game Studios,1.53,8.49
Mario Party 8,2007,Misc,Nintendo,2.3,8.42
Pokemon Black 2/Pokemon White 2,2012,Role-Playing,Nintendo,1.86,8.33
FIFA Soccer 13,2012,Action,Electronic Arts,5.05,8.24
The Sims 3,2009,Simulation,Electronic Arts,6.42,8.11
GoldenEye 007,1997,Shooter,Nintendo,2.01,8.09
Mario & Sonic at the Olympic Games,2007,Sports,Sega,3.9,8.06
Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment,2.07,8.05
Final Fantasy VIII,1999,Role-Playing,SquareSoft,1.72,7.86
Pokémon Platinum Version,2008,Role-Playing,Nintendo,1.78,7.84
Pac-Man,1982,Puzzle,Atari,0.45,7.81
Grand Theft Auto: Liberty City Stories,2005,Action,Take-Two Interactive,2.83,7.72
Super Mario Galaxy 2,2010,Platform,Nintendo,2.42,7.69
Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,3.29,7.67
Call of Duty: Advanced Warfare,2014,Shooter,Activision,3.3,7.6
The Legend of Zelda: Ocarina of Time,1998,Action,Nintendo,1.89,7.6
Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,Sony Computer Entertainment,2.17,7.58
Super Mario Bros. 2,1988,Platform,Nintendo,1.18,7.46
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,1.35,7.45
Call of Duty: World at War,2008,Shooter,Activision,1.9,7.37
Battlefield 3,2011,Shooter,Electronic Arts,2.13,7.34
The Legend of Zelda: Twilight Princess,2006,Action,Nintendo,2.19,7.31
Call of Duty: Black Ops 3,2015,Shooter,Activision,2.09,7.3
Just Dance,2009,Misc,Ubisoft,3.03,7.27
Battlefield 3,2011,Shooter,Electronic Arts,2.93,7.23
Need for Speed Underground,2003,Racing,Electronic Arts,2.83,7.2
Tekken 3,1998,Fighting,Sony Computer Entertainment,2.22,7.16
Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment,1.75,7.13
Super Smash Bros. Melee,2001,Fighting,Nintendo,1.04,7.07
Mario Kart 8,2014,Racing,Nintendo,2.07,6.96
Fallout 4,2015,Role-Playing,Bethesda Softworks,3.15,6.96
Mario Kart: Double Dash!!,2003,Racing,Nintendo,1.77,6.95
Just Dance 4,2012,Misc,Ubisoft,2.21,6.91
FIFA 14,2013,Sports,Electronic Arts,4.32,6.9
Need for Speed Underground 2,2004,Racing,Electronic Arts,3.02,6.9
Medal of Honor: Frontline,2002,Shooter,Electronic Arts,2.75,6.83
Uncharted 3: Drake's Deception,2011,Action,Sony Computer Entertainment,2.8,6.83
Crash Bandicoot,1996,Platform,Sony Computer Entertainment,2.35,6.82
Zumba Fitness,2010,Sports,505 Games,2.64,6.81
Gears of War 2,2008,Shooter,Microsoft Game Studios,1.92,6.76
Uncharted 2: Among Thieves,2009,Action,Sony Computer Entertainment,2.25,6.73
Call of Duty 4: Modern Warfare,2007,Shooter,Activision,2.3,6.72
FIFA 12,2011,Sports,Electronic Arts,4.32,6.69
Big Brain Academy,2005,Misc,Nintendo,2.78,6.67
Red Dead Redemption,2010,Action,Take-Two Interactive,2.61,6.6
FIFA 15,2014,Sports,Electronic Arts,4.29,6.59
Donkey Kong Country Returns,2010,Platform,Nintendo,1.84,6.59
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,2.71,6.56
The Legend of Zelda,1986,Action,Nintendo,0.93,6.51
Assassin's Creed III,2012,Action,Ubisoft,2.56,6.5
Halo: Combat Evolved,2001,Shooter,Microsoft Game Studios,1.3,6.43
Pokémon Emerald Version,2004,Role-Playing,Nintendo,1.58,6.41
Kingdom Hearts,2002,Role-Playing,Sony Computer Entertainment,1.2,6.4
Pokémon Crystal Version,2000,Role-Playing,Nintendo,1.56,6.39
Halo 3: ODST,2009,Shooter,Microsoft Game Studios,1.35,6.36
Red Dead Redemption,2010,Action,Take-Two Interactive,1.97,6.34
Super Mario Sunshine,2002,Platform,Nintendo,1.26,6.31
Street Fighter II: The World Warrior,1992,Fighting,Capcom,0.83,6.3
World of Warcraft,2004,Role-Playing,Activision,6.21,6.28
Driver,1999,Action,GT Interactive,2.8,6.27
Kinect Sports,2010,Sports,Microsoft Game Studios,1.78,6.24
Gears of War 3,2011,Shooter,Microsoft Game Studios,1.62,6.24
Gears of War,2006,Shooter,Microsoft Game Studios,1.9,6.11
Metal Gear Solid 2: Sons of Liberty,2001,Action,Konami Digital Entertainment,2.01,6.05
Sonic the Hedgehog 2,1992,Platform,Sega,1.2,6.03
Metal Gear Solid 4: Guns of the Patriots,2008,Action,Konami Digital Entertainment,1.74,6.03
Metal Gear Solid,1998,Action,Konami Digital Entertainment,1.83,6.03
The Last of Us,2013,Action,Sony Computer Entertainment Europe,2.28,5.99
Final Fantasy XII,2006,Role-Playing,Square Enix,0,5.95
LittleBigPlanet,2008,Platform,Sony Computer Entertainment,2.05,5.92
Dragon Quest IX: Sentinels of the Starry Skies,2009,Role-Playing,Nintendo,0.69,5.84
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,1.63,5.83
Resident Evil 2,1998,Action,Virgin Interactive,1.47,5.82
Tekken 2,1996,Fighting,Sony Computer Entertainment,1.89,5.74
Cooking Mama,2006,Simulation,505 Games,1.94,5.72
Destiny,2014,Shooter,Activision,2.05,5.65
Tetris,1988,Puzzle,Nintendo,0.69,5.58
Assassin's Creed II,2009,Action,Ubisoft,1.95,5.57
Super Smash Bros.,1999,Fighting,Nintendo,0.6,5.55
Assassin's Creed,2007,Adventure,Ubisoft,1.65,5.55
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,1.91,5.53
Forza Motorsport 3,2009,Racing,Microsoft Game Studios,1.92,5.51
Monster Hunter Freedom Unite,2008,Role-Playing,Capcom,0.57,5.5
Super Mario Advance,2001,Platform,Nintendo,1.24,5.49
Mario Kart: Super Circuit,2001,Racing,Nintendo,1.64,5.47
Super Mario World,2001,Platform,Nintendo,1.11,5.46
Pokemon Stadium,1999,Strategy,Nintendo,1.24,5.45
Call of Duty: World at War,2008,Shooter,Activision,1.87,5.43
Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive,2.29,5.42
Minecraft,2014,Misc,Sony Computer Entertainment,2.51,5.42
Final Fantasy XIII,2009,Role-Playing,Square Enix,1.24,5.36
Dr. Mario,1989,Puzzle,Nintendo,0.96,5.34
Pokemon Pinball,1999,Misc,Nintendo,1.12,5.31
Assassin's Creed III,2012,Action,Ubisoft,1.71,5.3
Final Fantasy IX,2000,Role-Playing,SquareSoft,0.77,5.3
Final Fantasy X-2,2003,Role-Playing,Electronic Arts,1.08,5.29
Donkey Kong 64,1999,Platform,Nintendo,0.79,5.27
Assassin's Creed II,2009,Action,Ubisoft,1.56,5.27
Professor Layton and the Curious Village,2007,Puzzle,Nintendo,2.48,5.26
Tomb Raider II,1997,Action,Eidos Interactive,2.46,5.24
Madden NFL 2004,N/A,Sports,Electronic Arts,0.26,5.23
Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix,0.75,5.21
Diablo III,2012,Role-Playing,Activision,2.15,5.2
Super Mario Bros. 3,2003,Platform,Nintendo,1.25,5.2
New Super Mario Bros. U,2012,Platform,Nintendo,1.3,5.19
Super Mario Land 3: Wario Land,1994,Platform,Nintendo,0.98,5.19
FIFA Soccer 13,2012,Action,Electronic Arts,3.48,5.18
The Legend of Zelda: Phantom Hourglass,2007,Action,Nintendo,1.83,5.17
Donkey Kong Country 2: Diddy's Kong Quest,1995,Platform,Nintendo,0.74,5.15
Tomodachi Life,2013,Simulation,Nintendo,2.02,5.15
Mario & Sonic at the Olympic Games,2008,Sports,Sega,2.48,5.14
Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts,2.23,5.13
Kirby's Dream Land,1992,Platform,Nintendo,0.61,5.13
Fable III,2010,Role-Playing,Microsoft Game Studios,1.11,5.13
Call of Duty: Advanced Warfare,2014,Shooter,Activision,1.53,5.13
Microsoft Flight Simulator,1996,Simulation,Microsoft Game Studios,1.69,5.12
Guitar Hero II,2006,Misc,RedOctane,0.63,5.12
Resident Evil 5,2009,Action,Capcom,1.43,5.11
Grand Theft Auto V,2014,Action,Take-Two Interactive,2.01,5.08
Grand Theft Auto: Vice City Stories,2006,Action,Take-Two Interactive,2.02,5.08
FIFA Soccer 11,2010,Sports,Electronic Arts,3.29,5.08
Super Mario Bros.,1999,Platform,Nintendo,1.3,5.07
Resident Evil,1996,Action,Virgin Interactive,1.16,5.05
Tony Hawk's Pro Skater,1999,Sports,Activision,1.38,5.02
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,1.06,5.02
Warzone 2100,1999,Strategy,Eidos Interactive,1.89,5.01
Spyro the Dragon,1998,Platform,Sony Computer Entertainment,1.36,5
Link's Crossbow Training,2007,Shooter,Nintendo,1.18,5
Guitar Hero III: Legends of Rock,2007,Misc,Activision,0.01,4.98
Fallout 3,2008,Role-Playing,Bethesda Softworks,1.03,4.96
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Role-Playing,Nintendo,1.2,4.96
Uncharted: Drake's Fortune,2007,Action,Sony Computer Entertainment,1.73,4.94
Madden NFL 06,2005,Sports,Electronic Arts,0.26,4.91
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,1.54,4.9
Diddy Kong Racing,1997,Racing,Nintendo,0.99,4.88
Monster Hunter Freedom 3,2010,Role-Playing,Capcom,0,4.87
Dr. Mario,1990,Puzzle,Nintendo,0.6,4.85
God of War III,2010,Action,Sony Computer Entertainment,1.36,4.84
StarCraft II: Wings of Liberty,2010,Strategy,Activision,1.68,4.83
Assassin's Creed,2007,Adventure,Ubisoft,2,4.83
FIFA 15,2014,Sports,Electronic Arts,3.14,4.82
Crash Team Racing,1999,Racing,Sony Computer Entertainment,1.57,4.79
FIFA 17,2016,Sports,Electronic Arts,3.75,4.77
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,1.31,4.76
Driver 2,2000,Action,Atari,2.1,4.73
The Simpsons: Hit & Run,2003,Racing,Vivendi Games,2.19,4.7
Tony Hawk's Pro Skater 2,2000,Sports,Activision,1.41,4.68
Animal Crossing: City Folk,2008,Simulation,Nintendo,1.12,4.68
The Lord of the Rings: The Two Towers,2002,Action,Electronic Arts,1.95,4.67
Forza Motorsport 4,2011,Racing,Microsoft Game Studios,2.04,4.64
Tomb Raider,1996,Action,Eidos Interactive,1.97,4.63
Guitar Hero III: Legends of Rock,2007,Misc,Activision,1.12,4.62
The Legend of Zelda: A Link to the Past,1991,Action,Nintendo,0.91,4.61
The Legend of Zelda: The Wind Waker,2002,Action,Nintendo,0.99,4.6
Mario & Sonic at the Olympic Winter Games,2009,Sports,Sega,1.99,4.58
Luigi's Mansion: Dark Moon,2013,Action,Nintendo,1.39,4.58
Splatoon,2015,Shooter,Nintendo,1.15,4.57
The Last of Us,2014,Action,Sony Computer Entertainment,1.87,4.55
Guitar Hero III: Legends of Rock,2007,Misc,Activision,0.92,4.53
Madden NFL 2005,2004,Sports,Electronic Arts,0.26,4.53
Pitfall!,1981,Platform,Activision,0.24,4.5
Madden NFL 07,2006,Sports,Electronic Arts,0.24,4.49
Spider-Man: The Movie,2002,Action,Activision,1.51,4.48
Dragon Quest VII: Warriors of Eden,2000,Role-Playing,Enix Corporation,0.14,4.47
Uncharted: The Nathan Drake Collection,2015,Action,Sony Computer Entertainment,1.69,4.47
Call of Duty: Advanced Warfare,2014,Shooter,Activision,1.94,4.45
God of War,2005,Action,Sony Computer Entertainment,1.29,4.45
Nintendo Land,2012,Misc,Nintendo,1.11,4.44
Michael Jackson: The Experience,2010,Misc,Ubisoft,1.35,4.42
Tony Hawk's Pro Skater 3,2001,Sports,Activision,1.29,4.41
Winning Eleven: Pro Evolution Soccer 2007,2006,Sports,Konami Digital Entertainment,2.39,4.39
The Elder Scrolls IV: Oblivion,2006,Role-Playing,Take-Two Interactive,1.05,4.39
Zelda II: The Adventure of Link,1987,Adventure,Nintendo,0.5,4.38
Need for Speed: Most Wanted,2005,Racing,Electronic Arts,1.79,4.37
Resistance: Fall of Man,2006,Shooter,Sony Computer Entertainment,1.73,4.35
Sonic the Hedgehog,1991,Platform,Sega,0.91,4.34
Kingdom Hearts II,2005,Role-Playing,Square Enix,0.58,4.33
FIFA 14,2013,Sports,Electronic Arts,2.93,4.31
Call of Duty: Advanced Warfare,2014,Shooter,Activision,1.18,4.31
Asteroids,1980,Shooter,Atari,0.26,4.31
Fable II,2008,Role-Playing,Microsoft Game Studios,1.27,4.31
Halo 5: Guardians,2015,Shooter,Microsoft Game Studios,1.2,4.26
Super Mario 3D World,2013,Platform,Nintendo,1.11,4.25
Batman: Arkham Asylum,2009,Action,Eidos Interactive,1.34,4.25
Assassin's Creed: Revelations,2011,Action,Ubisoft,2.02,4.24
Namco Museum,2001,Misc,Namco Bandai Games,1.11,4.24
Metal Gear Solid 3: Snake Eater,2004,Action,Konami Digital Entertainment,0,4.23
Daxter,2006,Platform,Sony Computer Entertainment,1.02,4.22
Warcraft II: Tides of Darkness,1995,Strategy,Activision,2.27,4.21
The Legend of Zelda: Ocarina of Time,2011,Action,Nintendo,1.27,4.21
FIFA Soccer 06,2005,Sports,Electronic Arts,2.55,4.21
EyeToy Play,2003,Misc,Sony Computer Entertainment,2.3,4.2
Uncharted 4: A Thief's End,2016,Shooter,Sony Computer Entertainment,2.07,4.2
Gran Turismo 5 Prologue,2007,Racing,Sony Computer Entertainment,1.83,4.2
Assassin's Creed: Revelations,2011,Action,Ubisoft,1.47,4.19
Street Fighter IV,2009,Fighting,Capcom,1.06,4.19
FIFA 12,2011,Sports,Electronic Arts,2.79,4.19
Teenage Mutant Ninja Turtles,1989,Action,Palcom,0.44,4.17
Excitebike,1984,Racing,Nintendo,0.48,4.16
Frogger,1997,Action,Hasbro Interactive,0.27,4.16
Madden NFL 2003,2002,Sports,Electronic Arts,0.21,4.14
Watch Dogs,2014,Action,Ubisoft,1.86,4.14
Half-Life,1997,Shooter,Vivendi Games,0,4.12
Super Mario World 2: Yoshi's Island,1995,Platform,Nintendo,0.61,4.12
FIFA Soccer 07,2006,Sports,Electronic Arts,2.48,4.11
The Legend of Zelda: Skyward Sword,2011,Action,Nintendo,1.2,4.1
Street Fighter II Turbo,1992,Fighting,Capcom,0.51,4.1
Carnival Games,2007,Misc,Take-Two Interactive,1.5,4.1
Fallout 4,2015,Role-Playing,Bethesda Softworks,1.26,4.09
World of Warcraft: The Burning Crusade,2007,Role-Playing,Activision,1.52,4.09
Fallout: New Vegas,2010,Role-Playing,Bethesda Softworks,1.06,4.08
God of War II,2007,Action,Sony Computer Entertainment,0.04,4.07
Forza Motorsport 2,2007,Racing,Microsoft Game Studios,1.28,4.06
World Soccer Winning Eleven 9,2005,Sports,Konami Digital Entertainment,2.26,4.06
Namco Museum Vol.3,1996,Misc,Sony Computer Entertainment,1.55,4.05
Tekken Tag Tournament,2000,Fighting,Namco Bandai Games,1.51,4.05
Far Cry 4,2014,Shooter,Ubisoft,2.12,4.03
Star Fox 64,1997,Shooter,Nintendo,0.58,4.03
Minecraft,2014,Misc,Sony Computer Entertainment Europe,1.87,4.02
Golf,1984,Sports,Nintendo,0.28,4.01
Fallout 3,2008,Role-Playing,Bethesda Softworks,1.2,4.01
Professor Layton and the Diabolical Box,2007,Puzzle,Nintendo,1.78,4
Left 4 Dead 2,2009,Shooter,Electronic Arts,0.89,3.99
Namco Museum: 50th Anniversary,2005,Misc,Namco Bandai Games,1.35,3.98
EA Sports Active,2009,Sports,Electronic Arts,1.36,3.92
Assassin's Creed: Unity,2014,Action,Ubisoft,1.96,3.92
Donkey Kong Land,1994,Platform,Nintendo,0.76,3.91
Tony Hawk's Underground,2003,Sports,Activision,1.17,3.9
Assassin's Creed IV: Black Flag,2013,Action,Ubisoft,1.71,3.89
Monster Hunter 4 Ultimate,2014,Role-Playing,Nintendo,0.49,3.89
MotorStorm,2006,Racing,Sony Computer Entertainment,1.61,3.88
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,2.09,3.88
Tekken 5,2005,Fighting,Namco Bandai Games,1.94,3.87
Dragon Warrior III,1988,Role-Playing,Enix Corporation,0,3.87
Sports Champions,2010,Sports,Sony Computer Entertainment,1.14,3.87
NBA 2K16,2015,Sports,Take-Two Interactive,0.65,3.85
World Soccer Winning Eleven 8 International,2004,Sports,Konami Digital Entertainment,1.89,3.85
Flash Focus: Vision Training in Minutes a Day,2007,Misc,Nintendo,1.57,3.84
Namco Museum Vol.1,1995,Misc,Sony Computer Entertainment,1.44,3.84
The Legend of Zelda: Link's Awakening,1992,Action,Nintendo,0.96,3.83
Mario & Luigi: Bowser's Inside Story,2009,Role-Playing,Nintendo,0.48,3.83
Big Brain Academy: Wii Degree,2007,Misc,Nintendo,1.93,3.82
Nintendogs + cats,2011,Simulation,Nintendo,1.37,3.81
Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,1.58,3.79
Mario & Sonic at the London 2012 Olympic Games,2011,Sports,Sega,1.91,3.78
LEGO Indiana Jones: The Original Adventures,2008,Action,Activision,1.03,3.78
Resident Evil Director's Cut,1996,Action,Virgin Interactive,1.24,3.77
Ratchet & Clank: Size Matters,2007,Platform,Sony Computer Entertainment,1.4,3.77
Just Dance 2014,2013,Misc,Ubisoft,1.47,3.76
The Sims: Unleashed,2002,Simulation,Electronic Arts,1.56,3.76
Super Paper Mario,2007,Platform,Nintendo,0.88,3.76
Harry Potter and the Sorcerer's Stone,2001,Action,Electronic Arts,2,3.73
The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,2,3.73
Resident Evil 3: Nemesis,1999,Action,Eidos Interactive,0.77,3.72
Spyro: Year of the Dragon,2000,Platform,Sony Computer Entertainment,1.58,3.71
FIFA Soccer 2005,2004,Sports,Electronic Arts,2.48,3.7
Pokémon Trading Card Game,1998,Strategy,Nintendo,0.73,3.7
Battlefield 4,2013,Shooter,Electronic Arts,1.51,3.69
MySims,2007,Simulation,Electronic Arts,1.61,3.69
Friend Collection,2009,Misc,Nintendo,0,3.67
Tony Hawk's Pro Skater 4,2002,Sports,Activision,1.18,3.67
Midnight Club 3: DUB Edition,2005,Racing,Take-Two Interactive,1.22,3.66
Banjo-Kazooie,1998,Platform,Nintendo,1.13,3.65
SOCOM: U.S. Navy SEALs,2002,Shooter,Sony Computer Entertainment,0.81,3.65
Guitar Hero: World Tour,2008,Misc,Activision,0.97,3.65
Gran Turismo 6,2013,Racing,Sony Computer Entertainment,1.8,3.64
Jak and Daxter: The Precursor Legacy,2001,Platform,Sony Computer Entertainment,1.09,3.64
Pokemon Snap,1999,Simulation,Nintendo,0.68,3.63
FIFA Soccer 10,2009,Sports,Electronic Arts,2.46,3.63
Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment,0,3.63
Call of Duty: Ghosts,2013,Shooter,Activision,1.42,3.63
Resident Evil 4,2005,Action,Capcom,0.83,3.62
Tom Clancy's The Division,2016,Shooter,Ubisoft,1.61,3.61
Star Wars: Battlefront,2004,Shooter,LucasArts,1.22,3.61
Doom II: Hell on Earth,1994,Shooter,Virgin Interactive,1.4,3.61
The Simpsons: Road Rage,2001,Racing,Electronic Arts,1.17,3.61
Cooking Mama 2: Dinner With Friends,2007,Simulation,505 Games,1.5,3.61
Luigi's Mansion,2001,Action,Nintendo,0.67,3.6
Star Wars: Battlefront II,2005,Shooter,LucasArts,1.02,3.59
WWF SmackDown!,2000,Fighting,THQ,1.35,3.58
Croc: Legend of the Gobbos,1997,Platform,Fox Interactive,1.79,3.56
Grand Theft Auto: Liberty City Stories,2006,Action,Take-Two Interactive,1.4,3.54
The Getaway,2002,Action,Sony Computer Entertainment,1.77,3.54
Tomb Raider III: Adventures of Lara Croft,1997,Action,Eidos Interactive,1.58,3.54
James Bond 007: Agent Under Fire,2001,Shooter,Electronic Arts,1.13,3.53
LEGO Star Wars: The Video Game,2005,Action,Eidos Interactive,1.14,3.53
Battlefield 4,2013,Shooter,Electronic Arts,1.08,3.53
FIFA Soccer 11,2010,Sports,Electronic Arts,2.4,3.53
Rugrats in Paris: The Movie,2000,Action,THQ,1.33,3.52
Spyro 2: Ripto's Rage!,1999,Platform,Sony Computer Entertainment,1.21,3.52
Left 4 Dead,2008,Shooter,Electronic Arts,0.5,3.52
